,tag_total,date
65,"['#러블리즈지애', '#지애', '#러블리즈', '#여자아이돌', '#걸그룹', '#다이어트', '#걸그룹다이어트', '#햄버거', '#배성재의텐', '#다이어트', '#뷰티', '#beauty']",2021-09-06T02:20:37.000Z
66,"['#리미티드버거', '#리미티드', '#스매쉬치즈버거', '#치즈버거', '#수제버거', '#버거', '#햄버거', '#수제버거맛집', '#버거맛집', '#맛집', '#상암맛집', '#마포맛집', '#서울', '#한국', '#먹스타그램', '#햄벅', '#limeatedburger', '#limeated', '#smashcheeseburger', '#cheeseburger', '#handmadeburger', '#burger', '#hamburger', '#igburger', '#igfood', '#igrestaurant', '#sangam', '#mapo', '#seoul']",2021-09-06T02:19:07.000Z
67,"['#강릉가족여행', '#박일여행', '#강릉', '#바다', '#햄버거', '#날씨넘좋았당', '#맛있당', '#행복한자매들', '#자매맘', '#딸둘맘', '#워킹맘', '#신랑체력방전', '#강릉바다', '#신났다', '#엄마는피곤모드', '#예쁜자매', '#이쁜딸들', '#귀엽다', '#이쁜공주들']",2021-09-06T02:14:16.000Z
68,"['#東急ストア', '#ハンバーガー', '#バーガー', '#ハンバーガー大好き', '#ハンバーガー好きな人と繋がりたい', '#ハンバーガー巡り', '#グルメ女子', '#ハンバーガー女子', '#飯テロ', '#グルメバーガー', '#バガ活', '#햄버거', '#hamburger', '#ハンバーガー屋さん', '#たべすたぐらむ', '#バガスタグラム', '#スーパーバーガー', '#ナゲット', '#破格', '#チーズバーガー', '#ごまバンズ', '#デミグラスソース']",2021-09-06T02:07:27.000Z
69,"['#볶음밥', '#떡볶이', '#햄버거', '#뉴욕쟁이디저트원주혁신도시점', '#뉴욕쟁이디저트', '#반곡동디저트', '#반곡동카페', '#반곡동커피', '#반곡동맛집', '#원주디저트', '#원주맛집', '#원주카페', '#원주혁신도시', '#카페추천', '#디저트맛집', '#커피맛집', '#디저트추천', '#분위기좋은카페', '#예쁜카페', '#오늘뭐먹지', '#추천', '#맛집공유']",2021-09-06T02:05:21.000Z
70,"['#맥도날드', '#스낵랩', '#슈슈버거', '#햄버거', '#점심시간', '#점심추천', '#점심', '#맥도날드행사', '#세일몽땅', 'salemongttang']",2021-09-06T02:03:16.000Z
71,"['#요기요', '#버거킹', '#버거왕', '#햄버거', '#와퍼', '#스텍버거', '#점심', '#점심메뉴', '#세일몽땅', 'salemongttang']",2021-09-06T01:55:36.000Z
72,"['#치즈렐라와퍼', '#앵그리너겟킹', '#버거킹', '#치즈렐라', '#burgerking', '#와퍼']",2021-09-06T01:54:11.000Z
73,"['#맥도날드', '#맥머핀', '#englishmuffin', '#overeasy', '#서울맛집', '#서울', '#강남맛집', '#맛집', '#햄버거맛집', '#햄버거', '#브런치맛집', '#샌드위치', '#강남', '#푸드스타그램', '#맛집스타그램', '#먹스타그램', '#seoulfood', '#seoul', '#breakfast', '#egg', '#mcmuffin', '#korea', '#sandwich', '#burgers', '#koreanfood', '#foodstagram', '#foodie', '#foodblogger', '#mcdonalds', '#유쉐린_강남']",2021-09-06T01:51:02.000Z
74,"['#광고', '#홈스토랑', '#볶음밥', '#샌드위치', '#햄버거', '#샐러드', 'himnandaofficial', '#힘난다버거', '#힘백스테이크', '#푸드스타그램', '#먹스타그램', '#요리스타그램', '#유산균', '#신바이오틱스']",2021-09-06T01:40:24.000Z
